id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,video_quality_category,application_is_guessed,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
3,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,54151,142.250.74.100,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,147,9,3714,1.64545E+12,1.64545E+12,147,5,1612,1.64545E+12,1.64545E+12,38,4,2102,54,412.6666667,524.8397374,1278,61,322.4,534.6702722,1278,54,525.5,568.1839491,1278,0,18.375,28.36968956,83,0,36.75,43.29260907,84,0,12.66666667,12.50333289,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,www.google.com,ca7c1e1877cd15fb6cd45b1aab4c8838,,Chrome/98.0.4758.102 Windows NT 10.0; Win64; x64,
4,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,3235,216.58.207.227,b2:79:df:5c:39:57,b2:79:df,443,6,4,0,0,1.64545E+12,1.64545E+12,14839,6,326,1.64545E+12,1.64545E+12,14839,3,121,1.64545E+12,1.64545E+12,14807,3,205,40,54.33333333,29.12501788,113,40,40.33333333,0.577350269,41,40,68.33333333,39.14502948,113,0,2967.8,6590.954195,14758,48,7419.5,10424.87528,14791,49,7403.5,10400.83364,14758,0,0,0,0,6,1,0,2,0,0,0,0,3,0,0,1,0,0,0,0,3,1,0,1,TLS.Google,Web,720P_30FPS_VoD,1,,,,,
9,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,64815,157.240.194.35,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,22546,145,87806,1.64545E+12,1.64545E+12,22493,73,49098,1.64545E+12,1.64545E+12,22500,72,38708,52,605.5586207,556.9768457,1278,61,672.5753425,552.5508754,1278,52,537.6111111,557.021368,1260,0,156.5694444,753.18618,6843,0,312.4027778,1057.470842,6888,0,316.9014085,1071.262782,6905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Facebook,SocialNetwork,720P_30FPS_VoD,1,,,,,
10,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,57605,216.58.207.227,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,108,7,750,1.64545E+12,1.64545E+12,78,3,498,1.64545E+12,1.64545E+12,75,4,252,53,107.1428571,118.4151293,374,61,166,180.1360597,374,53,63,18.69046103,91,0,18,14.71054044,33,26,39,18.38477631,52,0,25,28.47806173,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Google,Web,720P_30FPS_VoD,1,,,,,
11,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,3175,65.9.47.130,b2:79:df:5c:39:57,b2:79:df,443,6,4,0,0,1.64545E+12,1.64545E+12,14784,9,436,1.64545E+12,1.64545E+12,14755,4,161,1.64545E+12,1.64545E+12,14732,5,275,40,48.44444444,14.14311768,79,40,40.25,0.5,41,40,55,16.70329309,79,0,1848,5193.431511,14701,0,4918.333333,8517.07123,14753,0,3683,7345.346509,14701,0,0,0,0,9,2,0,2,0,0,0,0,4,0,0,1,0,0,0,0,5,2,0,1,TLS.AmazonAWS,Cloud,720P_30FPS_VoD,1,,,,,
19,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,64231,142.250.74.106,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,145,16,5422,1.64545E+12,1.64545E+12,123,8,2581,1.64545E+12,1.64545E+12,60,8,2841,53,338.875,434.8121242,1278,61,322.625,470.6745729,1278,53,355.125,427.777792,1278,0,9.666666667,22.1638917,84,0,17.57142857,31.25623747,85,0,8.571428571,11.25251295,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
24,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,54483,142.250.74.68,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,129,9,3713,1.64545E+12,1.64545E+12,129,5,1611,1.64545E+12,1.64545E+12,34,4,2102,54,412.5555556,524.9128764,1278,61,322.2,534.7716335,1278,54,525.5,568.1839491,1278,0,16.125,22.96231385,68,1,32.25,34.22839951,68,5,11.33333333,6.506407099,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
32,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,59404,142.250.74.68,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,153,9,3711,1.64545E+12,1.64545E+12,153,5,1609,1.64545E+12,1.64545E+12,33,4,2102,54,412.3333333,525.0597585,1278,61,321.8,534.97542,1278,54,525.5,568.1839491,1278,0,19.125,31.31607301,93,0,38.25,43.77499286,93,6,11,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
38,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,65250,142.250.74.42,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,137,15,5425,1.64545E+12,1.64545E+12,137,7,2553,1.64545E+12,1.64545E+12,42,8,2872,53,361.6666667,441.7270758,1278,61,364.7142857,492.7391853,1278,53,359,426.7562034,1278,0,9.785714286,19.01893215,67,0,22.83333333,27.4839347,68,0,6,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
45,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,62631,142.250.74.68,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,95,8,3667,1.64545E+12,1.64545E+12,95,5,1612,1.64545E+12,1.64545E+12,24,3,2055,61,458.375,541.7234238,1278,61,322.4,534.6702722,1278,127,685,576.2976661,1278,0,13.57142857,17.5770413,44,0,23.75,26.89950433,49,0,12,16.97056275,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
54,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,49506,35.209.92.19,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,4000,7,7773,1.64545E+12,1.64545E+12,4000,7,7773,0,0,0,0,0,105,1110.428571,443.3523268,1278,105,1110.428571,443.3523268,1278,0,0,0,0,0,666.6666667,633.5521026,1554,0,666.6666667,633.5521026,1554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC,Web,720P_30FPS_VoD,0,beacons.gcp.gvt2.com,5ec18c82d86c687320cc6448d8417386,,Chrome/98.0.4758.102 Windows NT 10.0; Win64; x64,
57,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,3418,150.242.122.31,b2:79:df:5c:39:57,b2:79:df,443,6,4,0,0,1.64545E+12,1.64545E+12,15004,5,260,1.64545E+12,1.64545E+12,15004,5,260,0,0,0,0,0,52,52,0,52,52,52,0,52,0,0,0,0,1000,3751,3095.803719,8001,1000,3751,3095.803719,8001,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TLS,Web,720P_30FPS_VoD,1,,,,,
65,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,63153,142.250.74.46,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,188,16,6936,1.64545E+12,1.64545E+12,122,8,3429,1.64545E+12,1.64545E+12,107,8,3507,53,433.5,523.0214782,1278,61,428.625,541.5783646,1278,53,438.375,541.1286981,1278,0,12.53333333,25.19315856,79,0,17.42857143,28.77995334,79,0,15.28571429,24.21235419,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
75,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,3181,20.199.120.85,b2:79:df:5c:39:57,b2:79:df,443,6,4,0,0,1.64545E+12,1.64545E+12,139,3,388,1.64545E+12,1.64545E+12,139,2,179,1.64545E+12,1.64545E+12,0,1,209,40,129.3333333,84.91368166,209,40,89.5,70.00357134,139,209,209,0,209,41,69.5,40.30508653,98,139,139,0,139,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,TLS.Azure,Cloud,720P_30FPS_VoD,1,,,,,
79,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,49795,142.250.74.142,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,110,16,6178,1.64545E+12,1.64545E+12,110,8,2053,1.64545E+12,1.64545E+12,44,8,4125,53,386.125,482.840191,1278,61,256.625,421.1294126,1278,53,515.625,532.8154163,1278,0,7.333333333,12.13417056,42,0,15.71428571,21.82288009,52,0,6.285714286,9.569296138,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
80,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,64589,31.13.72.36,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,205253,207,62139,1.64545E+12,1.64545E+12,205198,105,43738,1.64545E+12,1.64545E+12,205201,102,18401,51,300.1884058,418.9353221,1278,61,416.552381,487.5313398,1278,51,180.4019608,290.9465011,1260,0,996.3737864,3855.548198,23538,0,1973.057692,5279.337938,23587,0,2031.693069,5347.139992,23599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Facebook,SocialNetwork,720P_30FPS_VoD,0,,,,,
81,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,60582,142.250.74.100,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,127,9,3713,1.64545E+12,1.64545E+12,127,5,1611,1.64545E+12,1.64545E+12,31,4,2102,54,412.5555556,524.9128764,1278,61,322.2,534.7716335,1278,54,525.5,568.1839491,1278,0,15.875,23.52164657,69,0,31.75,36.53651142,70,0,10.33333333,8.96288644,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
83,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,60107,142.250.74.106,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,43581,46,10727,1.64545E+12,1.64545E+12,43547,22,5809,1.64545E+12,1.64545E+12,43493,24,4918,53,233.1956522,308.9446998,1278,61,264.0454545,351.1711667,1278,53,204.9166667,269.0750528,1278,0,968.4666667,4202.450825,21918,0,2073.666667,6047.586306,21959,0,1891,5806.495164,21981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
90,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,64247,142.250.74.68,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,159,9,3715,1.64545E+12,1.64545E+12,159,5,1613,1.64545E+12,1.64545E+12,42,4,2102,54,412.7777778,524.7668001,1278,61,322.6,534.5692659,1278,54,525.5,568.1839491,1278,0,19.875,30.68940022,91,0,39.75,46.55015217,92,0,14,12.28820573,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
93,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,3361,150.242.122.31,b2:79:df:5c:39:57,b2:79:df,443,6,4,0,0,1.64545E+12,1.64545E+12,15002,5,260,1.64545E+12,1.64545E+12,15002,5,260,0,0,0,0,0,52,52,0,52,52,52,0,52,0,0,0,0,1000,3750.5,3094.888528,7999,1000,3750.5,3094.888528,7999,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TLS,Web,720P_30FPS_VoD,1,,,,,
98,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,65087,142.250.74.68,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,6577,567,401727,1.64545E+12,1.64545E+12,6547,169,28386,1.64545E+12,1.64545E+12,6425,398,373341,53,708.5132275,584.3012372,1278,61,167.964497,272.1812004,1278,53,938.0427136,527.4391874,1278,0,11.62014134,106.1752211,2361,0,38.9702381,195.3899042,2382,0,16.18387909,130.2697626,2395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
100,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,52468,216.58.207.193,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,414,46,23925,1.64545E+12,1.64545E+12,367,20,3271,1.64545E+12,1.64545E+12,360,26,20654,53,520.1086957,562.9433454,1278,61,163.55,291.9669186,1278,53,794.3846154,570.7011181,1278,0,9.2,23.12082886,110,0,19.31578947,32.88372213,110,0,14.4,33.37788689,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
113,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,3407,35.209.92.19,b2:79:df:5c:39:57,b2:79:df,443,6,4,0,0,1.64545E+12,1.64545E+12,6623,5,260,1.64545E+12,1.64545E+12,0,1,52,1.64545E+12,1.64545E+12,6442,4,208,52,52,0,52,52,52,0,52,52,52,0,52,181,1655.75,1810.400945,4029,0,0,0,0,306,2147.333333,1861.827686,4029,5,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,TLS,Web,720P_30FPS_VoD,1,,,,,
116,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,50239,142.250.74.132,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,57821,1512,843462,1.64545E+12,1.64545E+12,57791,490,90328,1.64545E+12,1.64545E+12,57770,1022,753134,53,557.8452381,564.3667447,1278,61,184.3428571,272.0491445,1278,53,736.9217221,580.4066811,1278,0,38.26671079,490.2021475,16243,0,118.1820041,861.0452698,16294,0,56.58178257,599.7799061,16293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
117,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,52168,157.240.194.35,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,81617,92,31196,1.64545E+12,1.64545E+12,81537,45,19699,1.64545E+12,1.64545E+12,81566,47,11497,52,339.0869565,452.5668101,1278,61,437.7555556,506.1129121,1278,52,244.6170213,376.1982914,1260,0,896.8901099,4140.512589,28047,0,1853.113636,5854.573907,28100,0,1773.173913,5740.024062,28095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Facebook,SocialNetwork,720P_30FPS_VoD,0,,,,,
120,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,60755,142.250.74.42,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,13238,24,7153,1.64545E+12,1.64545E+12,13203,12,3805,1.64545E+12,1.64545E+12,13169,12,3348,53,298.0416667,403.1087327,1278,61,317.0833333,454.433005,1278,53,279,363.9577898,1278,0,575.5652174,2703.695246,12978,0,1200.272727,3915.602255,13006,0,1197.181818,3919.905964,13016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
122,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,49415,142.250.74.67,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,122,9,3710,1.64545E+12,1.64545E+12,122,5,1608,1.64545E+12,1.64545E+12,40,4,2102,54,412.2222222,525.1335015,1278,61,321.6,535.0778448,1278,54,525.5,568.1839491,1278,0,15.25,19.32984369,55,0,30.5,34.83771902,65,0,13.33333333,11.71893055,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
129,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,64368,142.250.74.42,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,185,16,5445,1.64545E+12,1.64545E+12,185,8,2579,1.64545E+12,1.64545E+12,127,8,2866,53,340.3125,440.6490242,1278,61,322.375,470.8059769,1278,53,358.25,440.1002321,1278,0,12.33333333,18.30170432,55,1,26.42857143,27.93359473,67,0,18.14285714,23.20508975,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
133,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,53280,142.250.74.42,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,39849,40,11771,1.64545E+12,1.64545E+12,39816,18,6300,1.64545E+12,1.64545E+12,39765,22,5471,53,294.275,391.9280407,1278,61,350,429.5375078,1278,53,248.6818182,362.0396435,1278,0,1021.769231,4413.102223,25066,1,2342.117647,6571.422952,25103,0,1893.571429,5953.565525,25106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
152,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,3614,35.234.107.47,b2:79:df:5c:39:57,b2:79:df,443,6,4,0,0,1.64545E+12,1.64545E+12,5311,35,8459,1.64545E+12,1.64545E+12,5311,15,2424,1.64545E+12,1.64545E+12,5252,20,6035,40,241.6857143,420.1596875,1460,40,161.6,238.8044029,863,40,301.75,514.8027599,1460,0,156.2058824,847.9160471,4953,0,379.3571429,1334.35237,5014,0,276.4210526,1132.876296,4953,2,0,0,0,34,16,1,2,1,0,0,0,14,7,1,1,1,0,0,0,20,9,0,1,TLS.Google,Web,720P_30FPS_VoD,0,e2cs16.gcp.gvt2.com,cd08e31494f9531f560d64c695473da9,f4febc55ea12b31ae17cfb7e614afda8,,
156,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,61358,142.250.74.74,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,130,15,5184,1.64545E+12,1.64545E+12,114,7,2374,1.64545E+12,1.64545E+12,48,8,2810,53,345.6,441.069771,1278,61,339.1428571,475.0822485,1278,53,351.25,442.2070459,1278,0,9.285714286,21.44914763,80,0,19,30.87393723,80,0,6.857142857,8.725987459,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
162,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,3629,34.234.38.175,b2:79:df:5c:39:57,b2:79:df,443,6,4,0,0,1.64545E+12,1.64545E+12,7265,5,260,1.64545E+12,1.64545E+12,0,1,52,1.64545E+12,1.64545E+12,7096,4,208,52,52,0,52,52,52,0,52,52,52,0,52,169,1816.25,1653.806795,4013,0,0,0,0,1034,2365.333333,1514.48352,4013,5,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,TLS.AmazonAWS,Cloud,720P_30FPS_VoD,1,,,,,
167,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,60642,31.13.72.36,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,203799,196,64523,1.64545E+12,1.64545E+12,203728,99,44230,1.64545E+12,1.64545E+12,203751,97,20293,51,329.1989796,435.1655579,1278,61,446.7676768,495.1681394,1278,51,209.2061856,324.8902359,1260,0,1045.123077,4162.004857,28027,0,2078.857143,5755.471665,28080,0,2122.40625,5839.208386,28093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Facebook,SocialNetwork,720P_30FPS_VoD,0,,,,,
170,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,57230,172.217.21.168,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,11568,39,12194,1.64545E+12,1.64545E+12,11538,22,8489,1.64545E+12,1.64545E+12,11482,17,3705,53,312.6666667,353.4580548,1278,61,385.8636364,359.1878797,1278,53,217.9411765,332.3865353,1278,0,304.4210526,1800.729216,11112,0,549.4285714,2420.346784,11112,0,717.625,2791.938248,11187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
172,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,58984,142.250.74.68,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,414,12,6381,1.64545E+12,1.64545E+12,414,7,3000,1.64545E+12,1.64545E+12,151,5,3381,54,531.75,573.8310054,1278,61,428.5714286,580.64041,1278,54,676.2,595.9011663,1278,0,37.63636364,60.20344297,190,1,69,77.90763762,190,6,37.75,41.08831951,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
174,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,59286,142.250.74.42,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,641,21,9465,1.64545E+12,1.64545E+12,544,11,4141,1.64545E+12,1.64545E+12,300,10,5324,53,450.7142857,519.0294927,1278,61,376.4545455,499.7728211,1278,53,532.4,554.0475712,1278,0,32.05,52.05308525,196,0,54.4,68.04442993,197,1,33.33333333,18.90105817,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
192,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,3721,44.194.199.121,b2:79:df:5c:39:57,b2:79:df,443,6,4,0,0,1.64545E+12,1.64545E+12,7401,5,260,1.64545E+12,1.64545E+12,0,1,52,1.64545E+12,1.64545E+12,7232,4,208,52,52,0,52,52,52,0,52,52,52,0,52,169,1850.25,1717.161878,4155,0,0,0,0,1032,2410.666667,1593.2879,4155,5,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,TLS.AmazonAWS,Cloud,720P_30FPS_VoD,1,,,,,
194,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,56283,142.250.74.42,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,14416,23,8634,1.64545E+12,1.64545E+12,14387,10,3487,1.64545E+12,1.64545E+12,14353,13,5147,53,375.3913043,453.5922016,1278,61,348.7,451.4507602,1278,53,395.9230769,472.5405559,1278,0,655.2727273,2999.665556,14085,1,1598.555556,4694.876226,14118,0,1196.083333,4085.170931,14168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
208,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,61462,142.250.74.68,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,130,9,3714,1.64545E+12,1.64545E+12,130,5,1612,1.64545E+12,1.64545E+12,43,4,2102,54,412.6666667,524.8397374,1278,61,322.4,534.6702722,1278,54,525.5,568.1839491,1278,0,16.25,20.89258242,61,0,32.5,34.70350607,63,6,14.33333333,9.073771726,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
214,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,3181,20.199.120.85,b2:79:df:5c:39:57,b2:79:df,443,6,4,0,0,1.64545E+12,1.64545E+12,112,3,388,1.64545E+12,1.64545E+12,112,2,179,1.64545E+12,1.64545E+12,0,1,209,40,129.3333333,84.91368166,209,40,89.5,70.00357134,139,209,209,0,209,39,56,24.04163056,73,112,112,0,112,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,TLS.Azure,Cloud,720P_30FPS_VoD,1,,,,,
230,0,192.168.62.195,c8:e2:65:0b:06:a3,c8:e2:65,54504,172.217.21.164,b2:79:df:5c:39:57,b2:79:df,443,17,4,0,0,1.64545E+12,1.64545E+12,118,9,3716,1.64545E+12,1.64545E+12,118,5,1614,1.64545E+12,1.64545E+12,34,4,2102,54,412.8888889,524.6940643,1278,61,322.8,534.4686146,1278,54,525.5,568.1839491,1278,0,14.75,20.45028816,58,0,29.5,34.07345007,60,0,11.33333333,11.01514109,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.Google,Web,720P_30FPS_VoD,0,,,,,
